"ennuste_final";"clyla_final";"clala_final"
65276,83431164;70900,4069860808;59653,2616371993
63953,9272591331;69998,2206515993;57909,6338666668
58918,2056151356;65125,5853231429;52710,8259071283
61576,2929031458;67896,9214801907;55255,6643261009
55221,1772278711;61636,6935019533;48805,6609537889
55898,4816848608;62397,5086673343;49399,4547023874
64951,0881069297;71524,564376861;58377,6118369984
75362,8515837286;82002,9665029811;68722,736664476
67449,2973695593;74149,1684660398;60749,4262730789
62896,7754689283;69650,295227582;56143,2557102745
61722,9148718124;68524,646042935;54921,1837006899
57328,0763740587;64173,1682112261;50482,9845368914
61854,9223882088;68739,0401166596;54970,8046597579
61638,4423430137;68557,7067181248;54719,1779679025
65456,7439996855;72407,6790834821;58505,8089158889
69793,8086636619;76773,2964538486;62814,3208734752
81381,3539784432;88386,59481616;74376,1131407265
77659,6264108443;84688,104298839;70631,1485228495
78922,4018058521;85971,853925273;71872,9496864313
74851,4403917862;81919,8302286261;67783,0505549462
73671,6944859533;80757,1880760295;66586,2008958771
70673,6782809842;77774,6231610864;63572,7334008819
71198,1223011223;78313,0288178944;64083,2157843503
68176,2328088739;75303,7574892702;61048,7081284776
